West perimeter zoneDrybulb temperature[C], West perimeter zoneHumidity ratio[kg/kgDA], West perimeter zoneSensible heat load[W], West perimeter zoneLatent heat load[W], West interior zoneDrybulb temperature[C], West interior zoneHumidity ratio[kg/kgDA], West interior zoneSensible heat load[W], West interior zoneLatent heat load[W], East perimeter zoneDrybulb temperature[C], East perimeter zoneHumidity ratio[kg/kgDA], East perimeter zoneSensible heat load[W], East perimeter zoneLatent heat load[W], East interior zoneDrybulb temperature[C], East interior zoneHumidity ratio[kg/kgDA], East interior zoneSensible heat load[W], East interior zoneLatent heat load[W], 
31.7, 0.012, 0, 0, 31.4, 0.011, 0, 0, 31.5, 0.011, 0, 0, 31.8, 0.012, 0, 0, 
31.6, 0.013, 0, 0, 31.4, 0.011, 0, 0, 31.5, 0.011, 0, 0, 31.8, 0.012, 0, 0, 
31.5, 0.013, 0, 0, 31.3, 0.011, 0, 0, 31.5, 0.011, 0, 0, 31.8, 0.013, 0, 0, 
31.4, 0.013, 0, 0, 31.3, 0.011, 0, 0, 31.5, 0.011, 0, 0, 31.8, 0.013, 0, 0, 
31.2, 0.013, 0, 0, 31.2, 0.012, 0, 0, 31.4, 0.012, 0, 0, 31.7, 0.013, 0, 0, 
31.1, 0.013, 0, 0, 31.2, 0.012, 0, 0, 31.3, 0.012, 0, 0, 31.7, 0.014, 0, 0, 
31.0, 0.013, 0, 0, 31.1, 0.012, 0, 0, 31.3, 0.012, 0, 0, 31.6, 0.014, 0, 0, 
31.0, 0.013, 0, 0, 31.1, 0.012, 0, 0, 31.2, 0.013, 0, 0, 31.6, 0.014, 0, 0, 
26.0, 0.010, 1511, 152, 26.0, 0.010, 1732, 126, 26.0, 0.010, 1300, 124, 26.0, 0.010, 1917, 259, 
26.0, 0.010, 1471, 32, 26.0, 0.010, 1574, 0, 26.0, 0.010, 1180, 0, 26.0, 0.010, 1754, 20, 
26.0, 0.010, 1553, 37, 26.0, 0.010, 1550, 0, 26.0, 0.010, 1169, 0, 26.0, 0.010, 1736, 20, 
26.0, 0.010, 1629, 39, 26.0, 0.010, 1544, 0, 26.0, 0.010, 1172, 0, 26.0, 0.010, 1733, 20, 
26.0, 0.010, 1705, 33, 26.0, 0.010, 1554, 0, 26.0, 0.010, 1184, 0, 26.0, 0.010, 1744, 20, 
26.0, 0.010, 1796, 36, 26.0, 0.010, 1576, 0, 26.0, 0.010, 1203, 0, 26.0, 0.010, 1763, 20, 
26.0, 0.010, 1896, 31, 26.0, 0.010, 1606, 0, 26.0, 0.010, 1224, 0, 26.0, 0.010, 1787, 20, 
26.0, 0.010, 1968, 35, 26.0, 0.010, 1637, 0, 26.0, 0.010, 1244, 0, 26.0, 0.010, 1808, 20, 
26.0, 0.010, 2019, 35, 26.0, 0.010, 1663, 0, 26.0, 0.010, 1258, 0, 26.0, 0.010, 1824, 20, 
26.0, 0.010, 2012, 36, 26.0, 0.010, 1679, 0, 26.0, 0.010, 1264, 0, 26.0, 0.010, 1830, 20, 
26.0, 0.010, 1934, 33, 26.0, 0.010, 1681, 0, 26.0, 0.010, 1261, 0, 26.0, 0.010, 1824, 20, 
26.0, 0.010, 1822, 29, 26.0, 0.010, 1668, 0, 26.0, 0.010, 1248, 0, 26.0, 0.010, 1805, 20, 
32.0, 0.011, 0, 0, 30.8, 0.010, 0, 0, 31.0, 0.010, 0, 0, 31.2, 0.010, 0, 0, 
32.3, 0.011, 0, 0, 31.2, 0.010, 0, 0, 31.4, 0.010, 0, 0, 31.6, 0.011, 0, 0, 
32.2, 0.012, 0, 0, 31.3, 0.010, 0, 0, 31.5, 0.010, 0, 0, 31.7, 0.011, 0, 0, 
32.1, 0.012, 0, 0, 31.4, 0.010, 0, 0, 31.5, 0.010, 0, 0, 31.8, 0.011, 0, 0, 
